verification_id,source_file,channel,segment_index,segment_start_s,segment_end_s,peak_threshold,max_heatmap,mean_heatmap,predicted_event_count,predicted_event_times_inside_s_json,predicted_event_times_absolute_s_json,review_status,corrected_event_count,corrected_event_times_inside_s_json,corrected_event_times_absolute_s_json,quality_flag,comment
Broadband_Data_2026.03.26_21.48.00_ns_seg023,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,23,46.0,48.0,0.25,0.1674591600894928,0.03244204819202423,0,[],[],model_verified,0,[],[],,
Broadband_Data_2026.03.26_21.48.00_ns_seg024,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,24,48.0,50.0,0.25,0.28607502579689026,0.03460252285003662,1,[0.988],[48.988],model_verified,1,[0.988],[48.988],,
Broadband_Data_2026.03.26_21.48.00_ns_seg025,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,25,50.0,52.0,0.25,0.38560205698013306,0.03668258339166641,2,"[0.256, 1.344]","[50.256, 51.344]",manual_corrected,1,[0.257263],[50.257263],,
Broadband_Data_2026.03.26_21.48.00_ns_seg026,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,26,52.0,54.0,0.25,0.9959107637405396,0.06126168370246887,4,"[1.22, 1.412, 1.466, 1.956]","[53.22, 53.412, 53.466, 53.956]",manual_corrected,4,"[1.220256, 1.407898, 1.461004, 1.956662]","[53.220256, 53.407898, 53.461004, 53.956662]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg027,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,27,54.0,56.0,0.25,0.9990946054458618,0.07320628315210342,5,"[0.434, 0.472, 0.568, 0.702, 0.956]","[54.434, 54.472, 54.568, 54.702, 54.956]",manual_corrected,5,"[0.434284, 0.466147, 0.565279, 0.699815, 0.951184]","[54.434284, 54.466147, 54.565279, 54.699815, 54.951184]",,
Broadband_Data_2026.03.26_21.48.00_ns_seg028,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,28,56.0,58.0,0.25,0.5000044107437134,0.036892324686050415,1,[1.008],[57.008],manual_corrected,1,[1.011371],[57.011371],,
Broadband_Data_2026.03.26_21.48.00_ns_seg029,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,ns,29,58.0,60.0,0.25,0.9511292576789856,0.0653035119175911,7,"[0.056, 0.482, 0.54, 0.652, 0.928, 1.59, 1.72]","[58.056, 58.482, 58.54, 58.652, 58.928, 59.59, 59.72]",manual_corrected,6,"[0.055459, 0.547577, 0.653789, 0.929942, 1.591999, 1.719454]","[58.055459, 58.547577, 58.653789, 58.929942, 59.591999, 59.719454]",,
Broadband_Data_2026.03.26_21.48.00_we_seg000,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,0,0.0,2.0,0.25,0.9986189603805542,0.042205508798360825,1,[1.0],[1.0],model_verified,1,[1.0],[1.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg001,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,1,2.0,4.0,0.25,0.9987616539001465,0.0437350831925869,2,"[0.256, 1.0]","[2.256, 3.0]",model_verified,2,"[0.256, 1.0]","[2.256, 3.0]",,
Broadband_Data_2026.03.26_21.48.00_we_seg002,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,2,4.0,6.0,0.25,0.9984999895095825,0.04140911251306534,1,[1.0],[5.0],model_verified,1,[1.0],[5.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg003,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,3,6.0,8.0,0.25,0.9989414811134338,0.046433232724666595,1,[1.0],[7.0],model_verified,1,[1.0],[7.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg004,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,4,8.0,10.0,0.25,0.9984219074249268,0.0430300235748291,1,[1.0],[9.0],model_verified,1,[1.0],[9.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg005,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,5,10.0,12.0,0.25,0.9987407326698303,0.051946330815553665,2,"[0.232, 1.0]","[10.232, 11.0]",model_verified,2,"[0.232, 1.0]","[10.232, 11.0]",,
Broadband_Data_2026.03.26_21.48.00_we_seg006,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,6,12.0,14.0,0.25,0.9985237717628479,0.044870734214782715,1,[1.0],[13.0],model_verified,1,[1.0],[13.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg007,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,7,14.0,16.0,0.25,0.9987548589706421,0.05527493357658386,3,"[0.384, 1.0, 1.036]","[14.384, 15.0, 15.036]",model_verified,3,"[0.384, 1.0, 1.036]","[14.384, 15.0, 15.036]",,
Broadband_Data_2026.03.26_21.48.00_we_seg008,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,8,16.0,18.0,0.25,0.9984789490699768,0.052001725882291794,2,"[0.174, 1.0]","[16.174, 17.0]",model_verified,2,"[0.174, 1.0]","[16.174, 17.0]",,
Broadband_Data_2026.03.26_21.48.00_we_seg009,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,9,18.0,20.0,0.25,0.998666524887085,0.049079909920692444,2,"[0.372, 1.0]","[18.372, 19.0]",model_verified,2,"[0.372, 1.0]","[18.372, 19.0]",,
Broadband_Data_2026.03.26_21.48.00_we_seg010,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,10,20.0,22.0,0.25,0.9982712268829346,0.047717589884996414,2,"[1.0, 1.242]","[21.0, 21.242]",model_verified,2,"[1.0, 1.242]","[21.0, 21.242]",,
Broadband_Data_2026.03.26_21.48.00_we_seg011,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,11,22.0,24.0,0.25,0.9985669255256653,0.04446448013186455,2,"[1.0, 1.848]","[23.0, 23.848]",model_verified,2,"[1.0, 1.848]","[23.0, 23.848]",,
Broadband_Data_2026.03.26_21.48.00_we_seg012,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,12,24.0,26.0,0.25,0.9985681772232056,0.041273511946201324,2,"[1.0, 1.746]","[25.0, 25.746]",model_verified,2,"[1.0, 1.746]","[25.0, 25.746]",,
Broadband_Data_2026.03.26_21.48.00_we_seg013,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,13,26.0,28.0,0.25,0.9985840320587158,0.046508122235536575,2,"[1.0, 1.476]","[27.0, 27.476]",model_verified,2,"[1.0, 1.476]","[27.0, 27.476]",,
Broadband_Data_2026.03.26_21.48.00_we_seg014,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,14,28.0,30.0,0.25,0.9985839128494263,0.0378807857632637,1,[1.0],[29.0],model_verified,1,[1.0],[29.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg015,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,15,30.0,32.0,0.25,0.9981399774551392,0.039237458258867264,1,[1.0],[31.0],model_verified,1,[1.0],[31.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg016,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,16,32.0,34.0,0.25,0.9985435009002686,0.062141839414834976,3,"[1.0, 1.434, 1.602]","[33.0, 33.434, 33.602]",model_verified,3,"[1.0, 1.434, 1.602]","[33.0, 33.434, 33.602]",,
Broadband_Data_2026.03.26_21.48.00_we_seg017,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,17,34.0,36.0,0.25,0.9983208775520325,0.045027848333120346,3,"[0.372, 0.408, 1.0]","[34.372, 34.408, 35.0]",model_verified,3,"[0.372, 0.408, 1.0]","[34.372, 34.408, 35.0]",,
Broadband_Data_2026.03.26_21.48.00_we_seg018,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,18,36.0,38.0,0.25,0.998611330986023,0.04190937057137489,2,"[1.0, 1.298]","[37.0, 37.298]",model_verified,2,"[1.0, 1.298]","[37.0, 37.298]",,
Broadband_Data_2026.03.26_21.48.00_we_seg019,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,19,38.0,40.0,0.25,0.9983958601951599,0.04778047278523445,3,"[0.246, 0.34, 1.0]","[38.246, 38.34, 39.0]",model_verified,3,"[0.246, 0.34, 1.0]","[38.246, 38.34, 39.0]",,
Broadband_Data_2026.03.26_21.48.00_we_seg020,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,20,40.0,42.0,0.25,0.9980729818344116,0.04766009747982025,2,"[0.244, 1.0]","[40.244, 41.0]",model_verified,2,"[0.244, 1.0]","[40.244, 41.0]",,
Broadband_Data_2026.03.26_21.48.00_we_seg021,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,21,42.0,44.0,0.25,0.9985179305076599,0.039247699081897736,1,[1.0],[43.0],model_verified,1,[1.0],[43.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg022,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,22,44.0,46.0,0.25,0.9983270764350891,0.03833657503128052,1,[1.0],[45.0],model_verified,1,[1.0],[45.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg023,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,23,46.0,48.0,0.25,0.9984758496284485,0.038846373558044434,1,[1.0],[47.0],model_verified,1,[1.0],[47.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg024,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,24,48.0,50.0,0.25,0.9984071850776672,0.03826620802283287,1,[1.0],[49.0],model_verified,1,[1.0],[49.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg025,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,25,50.0,52.0,0.25,0.9984683394432068,0.04782136529684067,3,"[0.258, 1.0, 1.346]","[50.258, 51.0, 51.346]",model_verified,3,"[0.258, 1.0, 1.346]","[50.258, 51.0, 51.346]",,
Broadband_Data_2026.03.26_21.48.00_we_seg026,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,26,52.0,54.0,0.25,0.9985559582710266,0.04320475459098816,2,"[1.0, 1.408]","[53.0, 53.408]",model_verified,2,"[1.0, 1.408]","[53.0, 53.408]",,
Broadband_Data_2026.03.26_21.48.00_we_seg027,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,27,54.0,56.0,0.25,0.99856036901474,0.048810407519340515,2,"[0.472, 1.0]","[54.472, 55.0]",model_verified,2,"[0.472, 1.0]","[54.472, 55.0]",,
Broadband_Data_2026.03.26_21.48.00_we_seg028,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,28,56.0,58.0,0.25,0.9985097050666809,0.036379165947437286,1,[1.0],[57.0],model_verified,1,[1.0],[57.0],,
Broadband_Data_2026.03.26_21.48.00_we_seg029,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.48.00.bin,we,29,58.0,60.0,0.25,0.9985247254371643,0.052394524216651917,4,"[0.538, 1.0, 1.59, 1.72]","[58.538, 59.0, 59.59, 59.72]",model_verified,4,"[0.538, 1.0, 1.59, 1.72]","[58.538, 59.0, 59.59, 59.72]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg000,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,0,0.0,2.0,0.25,0.22098463773727417,0.032357826828956604,0,[],[],model_verified,0,[],[],,
Broadband_Data_2026.03.26_21.49.00_ns_seg001,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,1,2.0,4.0,0.25,0.9398648738861084,0.04925568774342537,3,"[1.068, 1.402, 1.526]","[3.068, 3.402, 3.526]",manual_corrected,2,"[1.404357, 1.531812]","[3.404357, 3.531812]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg002,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,2,4.0,6.0,0.25,0.47894784808158875,0.037800200283527374,2,"[1.432, 1.79]","[5.432, 5.79]",model_verified,2,"[1.432, 1.79]","[5.432, 5.79]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg003,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,3,6.0,8.0,0.25,0.533653736114502,0.04214176908135414,2,"[0.212, 0.402]","[6.212, 6.402]",model_verified,2,"[0.212, 0.402]","[6.212, 6.402]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg004,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,4,8.0,10.0,0.25,0.9956374764442444,0.04500935226678848,2,"[1.506, 1.686]","[9.506, 9.686]",model_verified,2,"[1.506, 1.686]","[9.506, 9.686]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg005,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,5,10.0,12.0,0.25,0.6709424257278442,0.041459064930677414,1,[1.506],[11.506],model_verified,1,[1.506],[11.506],,
Broadband_Data_2026.03.26_21.49.00_ns_seg006,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,6,12.0,14.0,0.25,0.3953001797199249,0.03896191716194153,1,[1.502],[13.502],manual_corrected,0,[],[],,
Broadband_Data_2026.03.26_21.49.00_ns_seg007,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,7,14.0,16.0,0.25,0.2987726330757141,0.041009679436683655,2,"[0.264, 1.422]","[14.264, 15.422]",manual_corrected,0,[],[],,
Broadband_Data_2026.03.26_21.49.00_ns_seg008,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,8,16.0,18.0,0.25,0.4798033833503723,0.04070255160331726,1,[1.156],[17.156],manual_corrected,0,[],[],,
Broadband_Data_2026.03.26_21.49.00_ns_seg009,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,9,18.0,20.0,0.25,0.9983685612678528,0.04064813628792763,2,"[0.076, 0.468]","[18.076, 18.468]",model_verified,2,"[0.076, 0.468]","[18.076, 18.468]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg010,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,10,20.0,22.0,0.25,0.9931039214134216,0.06975303590297699,4,"[0.78, 0.816, 0.928, 1.002]","[20.78, 20.816, 20.928, 21.002]",model_verified,4,"[0.78, 0.816, 0.928, 1.002]","[20.78, 20.816, 20.928, 21.002]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg011,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,11,22.0,24.0,0.25,0.7820033431053162,0.04629204422235489,3,"[0.616, 1.184, 1.948]","[22.616, 23.184, 23.948]",model_verified,3,"[0.616, 1.184, 1.948]","[22.616, 23.184, 23.948]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg012,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,12,24.0,26.0,0.25,0.9850453734397888,0.053470369428396225,4,"[0.14, 0.506, 1.336, 1.624]","[24.14, 24.506, 25.336, 25.624]",manual_corrected,2,"[0.136889, 0.501551]","[24.136889, 24.501551]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg013,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,13,26.0,28.0,0.25,0.5738605260848999,0.040711257606744766,2,"[1.46, 1.9]","[27.46, 27.9]",model_verified,2,"[1.46, 1.9]","[27.46, 27.9]",,
Broadband_Data_2026.03.26_21.49.00_ns_seg014,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,14,28.0,30.0,0.25,0.3120129406452179,0.03610435873270035,1,[0.468],[28.468],model_verified,1,[0.468],[28.468],,
Broadband_Data_2026.03.26_21.49.00_ns_seg015,/home/s_grudinin/code/university/vlf_analyzing/new_test_raw_data/raw_v2/Broadband_Data_2026.03.26_21.49.00.bin,ns,15,30.0,32.0,0.25,0.5714824199676514,0.04451950266957283,2,"[0.844, 1.084]","[30.844, 31.084]",model_verified,2,"[0.844, 1.084]","[30.844, 31.084]",,
