sample_id,source_file,channel,segment_index,segment_start,segment_end,sample_rate,time_resolution,frequency_resolution,freq_min,freq_max,npz_path,png_path,event_count,event_times_s_json,split,label_source,quality_flag
loc_0000013,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,13,26.000000,28.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000013.npz,review/auto/ns/loc_0000013.png,0,[],,threshold_auto,unchecked
loc_0000014,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,14,28.000000,30.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000014.npz,review/auto/ns/loc_0000014.png,1,[0.8059999942779541],,threshold_auto,unchecked
loc_0000015,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,15,30.000000,32.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000015.npz,review/auto/ns/loc_0000015.png,14,"[0.4580000042915344, 0.48954901099205017, 0.5245410203933716, 0.5799999833106995, 0.9100000262260437, 1.088304042816162, 1.1349600553512573, 1.1543999910354614, 1.1979999542236328, 1.3040000200271606, 1.3519999980926514, 1.7020000219345093, 1.788148045539856, 1.8270280361175537]",val,manual_corrected,clean
loc_0000016,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,16,32.000000,34.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000016.npz,review/auto/ns/loc_0000016.png,3,"[0.5139999985694885, 0.7580000162124634, 1.8179999589920044]",,threshold_auto,unchecked
loc_0000017,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,17,34.000000,36.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000017.npz,review/auto/ns/loc_0000017.png,11,"[0.02800000086426735, 0.21799999475479126, 0.3100000023841858, 0.33399999141693115, 0.4584450125694275, 1.2059999704360962, 1.2599999904632568, 1.5548659563064575, 1.648179054260254, 1.7400000095367432, 1.8386919498443604]",val,manual_corrected,clean
loc_0000018,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,18,36.000000,38.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000018.npz,review/auto/ns/loc_0000018.png,2,"[0.12200000137090683, 1.9279999732971191]",,threshold_auto,unchecked
loc_0000019,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,19,38.000000,40.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000019.npz,review/auto/ns/loc_0000019.png,5,"[0.13600000739097595, 0.5019999742507935, 0.7760000228881836, 1.8220000267028809, 1.8339999914169312]",,threshold_auto,unchecked
loc_0000020,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,20,40.000000,42.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000020.npz,review/auto/ns/loc_0000020.png,3,"[0.017999999225139618, 0.09000000357627869, 1.2699999809265137]",,threshold_auto,unchecked
loc_0000021,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,21,42.000000,44.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000021.npz,review/auto/ns/loc_0000021.png,1,[0.12600000202655792],,threshold_auto,unchecked
loc_0000022,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,22,44.000000,46.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000022.npz,review/auto/ns/loc_0000022.png,0,[],,threshold_auto,unchecked
loc_0000023,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,23,46.000000,48.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000023.npz,review/auto/ns/loc_0000023.png,2,"[1.3240000009536743, 1.659999966621399]",,threshold_auto,unchecked
loc_0000024,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,24,48.000000,50.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000024.npz,review/auto/ns/loc_0000024.png,0,[],,threshold_auto,unchecked
loc_0000025,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,25,50.000000,52.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000025.npz,review/auto/ns/loc_0000025.png,1,[0.9380000233650208],,threshold_auto,unchecked
loc_0000026,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,26,52.000000,54.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000026.npz,review/auto/ns/loc_0000026.png,1,[1.1540000438690186],,threshold_auto,unchecked
loc_0000027,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,27,54.000000,56.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000027.npz,review/auto/ns/loc_0000027.png,3,"[1.5360000133514404, 1.7860000133514404, 1.8279999494552612]",,threshold_auto,unchecked
loc_0000028,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,28,56.000000,58.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000028.npz,review/auto/ns/loc_0000028.png,4,"[0.7519999742507935, 1.6979999542236328, 1.9639999866485596, 1.9880000352859497]",,threshold_auto,unchecked
loc_0000029,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,ns,29,58.000000,60.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000029.npz,review/auto/ns/loc_0000029.png,10,"[0.03999999910593033, 0.18799999356269836, 0.3145880103111267, 0.3923479914665222, 0.46000000834465027, 0.5640000104904175, 0.6839500069618225, 1.5743060111999512, 1.6360000371932983, 1.878000020980835]",val,manual_corrected,clean
loc_0000030,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,0,0.000000,2.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000030.npz,review/auto/we/loc_0000030.png,6,"[1.0, 1.442113995552063, 1.4615540504455566, 1.4732179641723633, 1.632627010345459, 1.7064989805221558]",val,manual_corrected,clean
loc_0000031,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,1,2.000000,4.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000031.npz,review/auto/we/loc_0000031.png,2,"[1.0, 1.278817057609558]",val,manual_corrected,clean
loc_0000032,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,2,4.000000,6.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000032.npz,review/auto/we/loc_0000032.png,2,"[1.0, 1.6287389993667603]",val,manual_corrected,clean
loc_0000033,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,3,6.000000,8.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000033.npz,review/auto/we/loc_0000033.png,3,"[1.0, 1.7453789710998535, 1.9553320407867432]",val,manual_corrected,clean
loc_0000034,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,4,8.000000,10.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000034.npz,review/auto/we/loc_0000034.png,3,"[0.07353100180625916, 0.1551789939403534, 1.0]",val,manual_corrected,clean
loc_0000035,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,5,10.000000,12.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000035.npz,review/auto/we/loc_0000035.png,1,[1.0],val,manual_verified,clean
loc_0000036,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,6,12.000000,14.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000036.npz,review/auto/we/loc_0000036.png,1,[1.0],val,manual_verified,clean
loc_0000037,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,7,14.000000,16.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000037.npz,review/auto/we/loc_0000037.png,3,"[0.5984129905700684, 0.6256300210952759, 1.0]",val,manual_corrected,clean
loc_0000038,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,8,16.000000,18.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000038.npz,review/auto/we/loc_0000038.png,6,"[0.27570798993110657, 0.47788500785827637, 1.0, 1.3960000276565552, 1.7648190259933472, 1.9475560188293457]",val,manual_corrected,clean
loc_0000039,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,9,18.000000,20.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000039.npz,review/auto/we/loc_0000039.png,3,"[0.17073099315166473, 0.7539340257644653, 1.0]",val,manual_corrected,clean
loc_0000040,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,10,20.000000,22.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000040.npz,review/auto/we/loc_0000040.png,2,"[0.6217420101165771, 1.0]",val,manual_corrected,clean
loc_0000041,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,11,22.000000,24.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000041.npz,review/auto/we/loc_0000041.png,1,[1.0],val,manual_verified,clean
loc_0000042,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,12,24.000000,26.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000042.npz,review/auto/we/loc_0000042.png,3,"[0.22127500176429749, 1.0, 1.0820000171661377]",val,manual_corrected,clean
loc_0000043,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,13,26.000000,28.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000043.npz,review/auto/we/loc_0000043.png,1,[1.0],val,manual_verified,clean
loc_0000044,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,14,28.000000,30.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000044.npz,review/auto/we/loc_0000044.png,2,"[0.8059999942779541, 1.0]",val,manual_verified,clean
loc_0000045,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,15,30.000000,32.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000045.npz,review/auto/we/loc_0000045.png,7,"[0.45455700159072876, 0.5789729952812195, 0.9094550013542175, 1.0, 1.1932810544967651, 1.302145004272461, 1.6987229585647583]",val,manual_corrected,clean
loc_0000046,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,16,32.000000,34.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000046.npz,review/auto/we/loc_0000046.png,2,"[1.0, 1.8179999589920044]",val,manual_verified,clean
loc_0000047,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,17,34.000000,36.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000047.npz,review/auto/we/loc_0000047.png,4,"[0.02800000086426735, 0.29514798521995544, 1.0, 1.737602949142456]",val,manual_corrected,clean
loc_0000048,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,18,36.000000,38.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000048.npz,review/auto/we/loc_0000048.png,4,"[0.12018699944019318, 1.0, 1.0533119440078735, 1.9242279529571533]",val,manual_corrected,clean
loc_0000049,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,19,38.000000,40.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000049.npz,review/auto/we/loc_0000049.png,3,"[1.0, 1.8192520141601562, 1.8309160470962524]",val,manual_corrected,clean
loc_0000050,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,20,40.000000,42.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000050.npz,review/auto/we/loc_0000050.png,2,"[0.01909800060093403, 1.0]",val,manual_corrected,clean
loc_0000051,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,21,42.000000,44.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000051.npz,review/auto/we/loc_0000051.png,2,"[0.15129099786281586, 1.0]",val,manual_corrected,clean
loc_0000052,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,22,44.000000,46.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000052.npz,review/auto/we/loc_0000052.png,1,[1.0],val,manual_verified,clean
loc_0000053,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,23,46.000000,48.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000053.npz,review/auto/we/loc_0000053.png,2,"[1.0, 1.8542439937591553]",val,manual_corrected,clean
loc_0000054,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,24,48.000000,50.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000054.npz,review/auto/we/loc_0000054.png,1,[1.0],val,manual_verified,clean
loc_0000055,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,25,50.000000,52.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000055.npz,review/auto/we/loc_0000055.png,1,[1.0],val,manual_verified,clean
loc_0000056,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,26,52.000000,54.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000056.npz,review/auto/we/loc_0000056.png,1,[1.0],val,manual_verified,clean
loc_0000057,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,27,54.000000,56.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000057.npz,review/auto/we/loc_0000057.png,2,"[1.0, 1.8270280361175537]",val,manual_corrected,clean
loc_0000058,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,28,56.000000,58.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000058.npz,review/auto/we/loc_0000058.png,2,"[1.0, 1.492658019065857]",val,manual_corrected,clean
loc_0000059,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.32.00.bin,we,29,58.000000,60.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000059.npz,review/auto/we/loc_0000059.png,3,"[0.1899999976158142, 1.0, 1.6360000371932983]",val,manual_verified,clean
loc_0000060,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,0,0.000000,2.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000060.npz,review/auto/ns/loc_0000060.png,2,"[1.7059999704360962, 1.74399995803833]",,threshold_auto,unchecked
loc_0000061,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,1,2.000000,4.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000061.npz,review/auto/ns/loc_0000061.png,2,"[0.27799999713897705, 1.715999960899353]",,threshold_auto,unchecked
loc_0000062,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,2,4.000000,6.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000062.npz,review/auto/ns/loc_0000062.png,0,[],,threshold_auto,unchecked
loc_0000063,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,3,6.000000,8.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000063.npz,review/auto/ns/loc_0000063.png,0,[],,threshold_auto,unchecked
loc_0000064,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,4,8.000000,10.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000064.npz,review/auto/ns/loc_0000064.png,1,[0.22599999606609344],,threshold_auto,unchecked
loc_0000065,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,5,10.000000,12.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000065.npz,review/auto/ns/loc_0000065.png,0,[],,threshold_auto,unchecked
loc_0000066,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,6,12.000000,14.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000066.npz,review/auto/ns/loc_0000066.png,2,"[0.9919999837875366, 1.7719999551773071]",,threshold_auto,unchecked
loc_0000067,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,7,14.000000,16.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000067.npz,review/auto/ns/loc_0000067.png,4,"[1.1399999856948853, 1.187999963760376, 1.2699999809265137, 1.3200000524520874]",,threshold_auto,unchecked
loc_0000068,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,8,16.000000,18.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000068.npz,review/auto/ns/loc_0000068.png,0,[],,threshold_auto,unchecked
loc_0000069,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,9,18.000000,20.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000069.npz,review/auto/ns/loc_0000069.png,2,"[0.7459999918937683, 1.0640000104904175]",,threshold_auto,unchecked
loc_0000070,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,10,20.000000,22.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000070.npz,review/auto/ns/loc_0000070.png,6,"[0.15199999511241913, 0.2460000067949295, 0.27799999713897705, 0.7279999852180481, 1.5820000171661377, 1.7139999866485596]",,threshold_auto,unchecked
loc_0000071,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,11,22.000000,24.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000071.npz,review/auto/ns/loc_0000071.png,1,[0.012000000104308128],,threshold_auto,unchecked
loc_0000072,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,12,24.000000,26.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000072.npz,review/auto/ns/loc_0000072.png,1,[0.6320000290870667],,threshold_auto,unchecked
loc_0000073,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,13,26.000000,28.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000073.npz,review/auto/ns/loc_0000073.png,1,[0.5960000157356262],,threshold_auto,unchecked
loc_0000074,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,14,28.000000,30.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000074.npz,review/auto/ns/loc_0000074.png,1,[1.3300000429153442],,threshold_auto,unchecked
loc_0000075,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,15,30.000000,32.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000075.npz,review/auto/ns/loc_0000075.png,0,[],,threshold_auto,unchecked
loc_0000076,/home/s_grudinin/code/university/vlf_analyzing/raw_vlf_data/raw_data/Broadband_Data_2026.03.25_16.33.00.bin,ns,16,32.000000,34.000000,100000.0,0.002000,50.000000,20000.000000,30000.000000,samples/loc_0000076.npz,review/auto/ns/loc_0000076.png,3,"[0.19200000166893005, 1.468000054359436, 1.8619999885559082]",,threshold_auto,unchecked
